Nama,Tanggal,comment,Label
GM 999,16 Juli 2021,Emang bagus kenapa tapi video saya di privasi padahal view dah besar kenapa di privasi min hapus lagi privasinys ff.gm999  ilangin privasi kerja sama min dari dulu ingin fyp.. Pas fyp video di privat tolong hilangin yah privasi mohon kerja sama min tolong direspon jangan di read saja yah.. ...,Positif
Aletta channel,3 Agustus 2021,"Menurut saya aplikasi ini sangat bagus, tapi saya minta tiktok Indonesia untuk menghapus video porno atau semacam, karna itu bisa menimbulkan dampak negatif, apalagi sekarang bak anak kecil yang sudah main tiktok, jadi saya mohon sekali lagi tolong hapus video yang berhubungan dengan 18, terimakasih�...",Positif
Fatur Rhmn,13 Juli 2021,kenapa saya selalu gagal saat melakukan penarikan saldo tiktok ke dana? tolong dong segera diperbaiki,Positif
septian Raditya,19 Juli 2021,Kenapa saya tidak mendapatkan poin setelah teman saya memakai kode saya selama 3 hari dan 14 hari Terdapat tulisan tidak dapat memproses,Positif
Khenesya Humaira,2 Agustus 2021,Aplikasi ini bagus banget tapi kalau ada hacker akun kita kehack jadi tolong kalau ada hacker banned akun ya tiktok,Positif
Nata-chan,7 Agustus 2021,Halo tiktok- Boleh ramein akun kakak ku ngga? Kalo boleh ni akun sukakamu_201,Positif
Rachmat Setyawan,15 Juli 2021,"Saya kasih bintang 4 dulu karena masih ada kendala, dari bonus point dari undangan teman tidak bisa di proses.. Kalau sudah dibetulin saya tambah bintang lagi",Positif
レイハン電話してね,14 Juli 2021,Aplikasi dihpku ini sangat kesal buka tiktok langsung keluar gimana sih,Positif
khayrunnisa p.a,23 Juli 2021,"Jelek banget tapi bohong,,,,,,, bagus banget .kenapa lihat lihat 🙈",Positif
beachshutup,17 Juli 2021,"Tambahkan fitur vn di komen/chat, kirim foto/video, tambahkan darkmode di andro, tambahkan fitur tag d video, fitur edit caption, dan fitur salin link berkali"", ketika kita tidak sengaja ke refresh, tambahin fitur seperti ""apakah anda ingin merefresh?"" Gitu aja.",Positif
Siti Khodijah,5 Agustus 2021,"Min ini kenapa si kok tiktok jadi lag? tolong diperbaiki ya min,ku kira memoriku penuh/jaringan ku enggak bagus",Positif
Selvie Massie,25 Juli 2021,Aplikasi  bagus tapi sangat lambat untuk download .buat yang tidak mau download anda akan menyesal,Positif
Sulthan T.A,6 Agustus 2021,kenapa tiktok akhir akhir ini kok lag patah patah. orang lain pun merasa begitu juga mohon diperbaiki 🙏,Positif
19_ Putu Mutiara,3 Agustus 2021,"Menurut saya aplikasi ini bagus digunakan, jika kita menggunakan secara bijak dan juga sesuai umur",Positif
Sisca Harianja,22 Juli 2021,"tiktok ini bagus kok, terus bikin orng ketawa, tapi kurangin ya film yang aneh2, takut kalo bocil tonton yang aneh2 di tiktok mata mereka rusak, masa depan juga rusak juga nanti, dikurangin ya film yang aneh2 di tiktok, btw aku kasih bintang 4 ya. Makasih",Positif
Dewi Lestari,3 Agustus 2021,kok sekarang gak bisa dapat koin yang tonton video ya???? jawab dong kenapa ya?,Positif
Nanda Tri,27 Juli 2021,Sangat puas sama aplikasi semoga berkembang dengan baik dan semoga akun saya bisa fyp terus amin..,Positif
Kode senekvideo ❹⓿❸❷❽❽⓿❻❺,14 Juni 2021,Emang benar aplikasi bagus buat video juga keren keren ditonton ...,Positif
Indah Cicik,25 Juli 2021,"Assalamualaikum. aplikasi tiktok sih bener"" bisa dapat duit. tapi kok lama"" main tiktok koin saya GaK bertambah dan juga GaK ada misi buat nambah koin. setiap hari saya cek tetap GaK dapat misi. tolong kasih bantuan buat masalah saya. kalo sudah ada misi lagi nanti saya tambah bintang. sekian terimakasih...",Positif
GBDPPMNGMPYTG Kode tiktok,23 Juni 2021,Memang sangat bagus aplikasi buat menghibur disaat tonton video ...,Positif
Hania putri adilla,7 Agustus 2021,Pas diperbaharui tiktok saya jadi lemot. Kamera juga jadi kurang bagus. Ga seperti biasa,Positif
Nur Syahriza Wani,22 Juni 2021,"Bagus,saya seorang konten kreator tiktok ngedit"" lirik musik, kalo mau up suka macet"" kenapa ya,terus video saya sering ketahan tiktok viewers sedikit banget kadang nol, padahal followers sudah 1k lebih, terus belom bisa live, kata kalo sudah 1k sudah bisa live, tapi saya belum",Positif
Jaka aprianto,7 Agustus 2021,"Misi nonton video engga ada, hasil nihil perbaikan di percepat, kalau sudah bener kasih bintang 5",Positif
Reyhan M,15 Juni 2021,Bagus juga aplikasi bisa dapat bonus berupa uang mantap ...,Positif
Kode undangan GBDPPMNGMPYTG,23 Juni 2021,Bagus banget aplikasi jadi ingin terus tonton video biar bonus makin tambah ...,Positif
مُحَمَّد جُوَندِ جُوَندِ,6 Agustus 2021,Izin mempaikan tolong dong kok akun tiktok saya berbeda dengan yang lain.. tidak muncul event sperti temen² saya yang pu akun tiktok yang sudah lama daftar. Mohon di perbaiki min.🙏😔😔,Positif
Roxie Ross,10 Juli 2021,Menit kok gak jalan ya ? Padahal sudah di mainin ...kok lama lagi error' kah?,Positif
Dini Siti Nurwulan,31 Juli 2021,"Bagaimana cara menghapus akun tiktok saya yang lama? Karena saya lupa dengan password dan nama email, dikarenakan akun tiktok saya berada di hp saya yang sudah rusak. Jika sudah ada solusi, maka saya akan memberikan bintang 5",Positif
jejeyyy,18 Juli 2021,"aplikasi bagus kok, tapi kenapa ya habis aku update versi 20.4.4 kok gak bisa salin komentar?",Positif
Kode snakvideo ❹⓿❸❷❽❽⓿❻❺,16 Juni 2021,Bagus aplikasi dan dapat bonus uang lagi jadi serba terhibur ...,Positif
Kode undangan ❹⓿❸❷❽❽⓿❻❺,26 Juni 2021,Bagus sekali aplikasi tiktok bisa menghibur disaat tonton video jadi gak jenuh bisa tertawa ...,Positif
Andi Khumairah,10 Juli 2021,Saya sudah memasukan nomor saya tetapi kenapa pas tahun lahir ngga bisa ini yang mau memakai kakak saya kenapa tidak bisa untuk umur 20,Positif
Shaleha S,9 Juli 2021,"Aplikasi  bagus kok ,,,,,,,,,,,,,,,,,,,,,,..........??????&7???-&_&?-&'??'-''#""-_-?????¿???¿??¿¿?¿? kenapa lihat kebawah sudah aku bilang bagus",Positif
Mikha Nasution,7 Agustus 2021,Hai tiktok - boleh ramein video di akun jjovanka051 gak - kalo boleh ramein ya,Positif
Z E N I N,1 Agustus 2021,"Akhir akhir ini kenapa yaa aku post video gak pernah fyp padahal video kemarin fyp terus, dan aku sudah ngedit Berjam jam malah kaga fyp. TERIMAKASIH",Positif
Bei Bou,28 Juli 2021,Koin saya kenapa gak berubah ya.. Padahal orang yang saya undang sudah ceckin sampe hari ke 7..,Positif
Rere Dolphino,10 Juli 2021,"Aplikasi memang bagus, tapi kenapa disaat mau melaporkan konten yang mengarah ke kekerasan, ujaran kebencian, dll kok selalu tidak bisa ya? Dengan alasan video yang dibuat tidak mengandung unsur tersebut, padahal jelas-jelas mengandung unsur itu.",Positif
Tiara Yanuar,30 Juli 2021,Good aplikasi to every all people.tapi kenapa sekarang gak bisa nonton klip video kalo mau nambah poin.,Positif
Nony 69,18 Juli 2021,Aku baru belajar main tiktok tolong bantu ya di pandemi sekarang ini biar bisa bertahan cari tambahan follow ya sobat bantu,Positif
Frans dhocill,17 Juli 2021,Bagus sih bagus tapi tolong kok gua gak kenapa² kena pelanggaran? kalo boleh diperbaiki ya,Positif
A Mutta,7 Juli 2021,Cakep banget aplikasi bisa menghibur maju terus tiktok dengan semua video Dapat uang lagi selain menghibur.,Positif
FF L4Y,11 Juli 2021,Saya suka ha saja event saldo terlalu kecil bagi pengguna yang sudah menjadi kreator. Good luck,Positif
Raditya Haidar Maheswara,15 Juli 2021,"Aplikasi sudah bagus, tapi kenapa aku kasih bintang 4? Karena masih ada konten-konten yang menyesatkan, ketelanjangan dan pornografi, sudah aku report tapi masih saja muncul",Positif
Angelica M.K,8 Juni 2021,"Bagus, tapi kok hari ini dan semalam saya tidak bisa lihat tiktok? Kata koneksi tidak lancar, padahal lihat instagram, youtube bisa. Laporan masalah kirim masukan pun gak bisa karena kata gak ada koneksi gimana sih? Padahal koneksi internet saya full, dan tidak macet. Ini terjadi di saya aja teman² gak, tolong...",Positif
Kode senekvideo ❹⓿❸❷❽❽⓿❻❺,2 Juni 2021,Buat aku sih aplikasi sangat lah bagus dan konten video juga bikin terhibur jadi bikin ketawa ...,Positif
Kode undangan GBDPPMNGMPYTG,27 Juni 2021,Sangat bagus banget aplikasi jadi terhibur di tiktok buat hari hari yang penuh kejenuhan sambil ngopi ama ngerokok ...,Positif
Iwan Saputra,31 Juli 2021,aplikasi ini bagus banget Tapi... Kenapa akun ku kena blok tanpa alasan ya?,Positif
Siti Nuryanti,29 Juli 2021,"Please tiktok buat fitur scroll otomatis dong, kalo lagi makan sambil lihat tiktok jadi tidak perlu ribet",Positif
carissa zeny,25 Juli 2021,"Sangat membantu saat boring. Tapi videoku gapernah Fyp. Sekian, gitu aja.",Positif
Serena Edwards,4 Juli 2021,Gunakan kode ini 🅖̤̤̤̤̤͟͟🅑̤̤̤̤̤͟͟🅔̤̤̤̤̤͟͟🅛̤̤̤̤̤͟͟🅩̤̤̤̤̤͟͟🅟̤̤̤̤̤͟͟🅑̤̤̤̤̤͟͟🅣̤̤̤̤̤͟͟🅡̤̤̤̤̤͟͟🅟̤̤̤̤̤͟͟🅨̤̤̤̤̤͟͟🅦̤̤̤̤̤͟͟🅖̤̤̤̤̤͟͟ pasti mendapatkan koin tambahan terbak Tiktok emang TERKEREN ...,Positif
Kode undangan GBDPPMNGMPYTG,30 Mei 2021,Kenapa gak dari dulu gue ya gak dowload aplikasi terta bagus jadi ketawa sendiri ckckckckckckckckckckckckck...,Positif
Satria Amanda,19 Juli 2021,Hai sobat kenapa akhir² tidak menyenangkan sedikit kecewa. Tugas tiktok sudah saya selesaikan tapi koin gak nambah Terus koin yang berjalan berputar koi cuma sedikit dibawah 20koin Bisa dikasih penjelasan tentang aplikasi tikitok ini wahai admin????,Positif
Adam Adam,27 Juli 2021,Aplikasi aku belum cukup tau jadi aku kasih bintang 4 dulu kalau sudah bagus aku tambahkan 5 bintang,Positif
aditama. cm,30 Juni 2021,Bagus sih bisa dapatin duit REAL... Tapi sayang tugas untuk menambah poin ha menonton selama 30 menit  Rp.7000  aja setiap hari. Kalo bisa ditambahkan lagi tugas perhari untuk menambah poin...,Positif
trianto cahhackker,19 Mei 2021,Aplikasi jelek banget ...,Negatif
Ana Zulaikah,1 Juli 2021,"Assalamualaikum. Mohon maaf tiktok yang buat ini aplikasi, kenapa ya saat mau buka komentar malah jadi ada kata kata gini.. jadilah orang yang pertama berkomentar. Padahal ada Lo yang komen tolong diperbaiki yah aplikasi bagus",Positif
Gristy Kordak,14 Juli 2021,Tiktok tolong cek kenapa fyp saya orang USA semua gak ada indonesia.. kan jadi gak asik.. terus saya cek komen bak yang pu pengeluhan yang sama,Positif
BELOVERS CHENEL,24 Juli 2021,Mohon bantuan tiktok untuk memperbarui tiktok saya karena pas saya ingin menonton tiktok tiba tiba macet dan keluar mohon bantuan tiktok,Positif
yogi mulyadi,19 Juli 2021,Game ini bagus Apa lihat2 cantik bilang,Positif
Luthfi ana,26 Juni 2021,Wow bagus banget aplikasi,Positif
Nabila maulidyah,8 Agustus 2021,Aku kurangi bintang satu karena waktu aku buka tiktok selalu keluar sendiri tolong diperbaiki🙏,Positif
Ambar 0472,22 Juli 2021,"Aplikasi bagus,tapi kok koin gak bisa muter ya...... nanti kalau dah bisa muter Ku kasih 5*",Positif
DEDY SITOMPUL OFFICIAL,20 Juli 2021,"Tiktok aku kenapa ya bonus gak jalan ,padahal sudah saya klik tanda bonus tapi gak berputar",Positif
Putra Sulung,24 Juli 2021,"Kenapa ya kak developer koin ku kok gak jalan,dan dikolom pilihan tidak ada pilihan menonton",Positif
Ratna Wijaya,23 Juli 2021,"Sebenar bagus, tapi pas klik bonus 2× gak ada tulisan misi, biasa ada ini engga 😢😢😭😭",Positif
angga gaming,2 Agustus 2021,Maaf aku cuma kasi 4 bintang soal aku sudah bak followers sama suka masa gak dikasih saldo apa²,Positif
Albyanca Kusuma,11 Juli 2021,Kasih 4 dulu ya kalo sudah bisa dapat poin saya kasih bintang 5 karena sekarang menonton video tidak mendapatkan poin.. 3 hp 3 akun semua sama jadi ga dapat poin.. Misi menonton video tidak ada.. Apakah nonton video sekarang sudah tidak dapat poin lagi? Event masih berjalankah ? Entahlah,Positif
Kode undang GBDPPMNGMPYTG,13 Juni 2021,Cakep banget aplikasi bikin jadi tonton terus video bikin tersenyum terus ...,Positif
Origi Divock,15 Juli 2021,Aplikasi yang bermanfaat banget buat pengetahuan tapi tergantung yang menggunakan saja sih mantap sih pokok👍👍👍,Positif
ian sofyan,18 Juli 2021,Saya kasih bintang 4..cuma saya mau berta Saya kan tarik /Tukar uang kok uang tersebut sudah lebih dari 3 hari belom masuk2 Rek saya..kok bisa dan laporan pun cuma dana sudah masuk ke rekening anda.. cuma tulisan doang dan saya cek gak ada yang masuk ke rekening saya sampai sekarang,Positif
aidil hanafi,10 Juli 2021,Gemes ini sangat bagus Tapi bagus,Positif
Sam Sudin,15 Juli 2021,"Pertama saya dapat saldo mpe 65000 mau diambil gak bisa sekarang malah hilang saldo, mohon bantuan. Terimakasih",Positif
jasmine wk,29 Juli 2021,"untuk developer, tolong banget DM dikasih fitur reply biar gak bingung pas chatting, pasti yang lain juga ikut bingung, apa lagi yang ngetik pada cepet2",Positif
M. Aksya Raihan,25 Juli 2021,"akun saya diblokir tiba tiba, padahal saya tidak melakukan apapun yang melanggar panduan komunitas tiktok, mohon bantuan agar akun saya tidak di blokir🙏🏻",Positif
Anditanaysyella Fitriacahayu,19 Juli 2021,Saya suka dengan aplikasi tiktok ini saya senang sekali mengunakan aplikasi tiktok😊,Positif
Saiful Azhari,18 Juli 2021,Ayo gas kan coba aplikasi ini tiktok nama aplikasi keren Angel mantap jangan lupa like and comment,Positif
Andini Agustina,6 Agustus 2021,Maaf ko tiktok ngeleg ya tolong diperbaiki aku merasa gak man banget karna ini tolong ya,Positif
waldanrifki1919,2 Juli 2021,"Alhamdulillah Tiktok ini sangat membantu dan nambah2 penghasilan, tapi saya mohon admin kalau bisa bonus nonton gak usah dibeda-bedakan dengan mengikuti merk hp,, misi nonton saya cuma 7000 poin/hari selama 30 menitip vivo. Sedangkan teman saya merk hp xiomi penghasilan misi 13.000 poin/hari..",Positif
channel idaman,23 Juli 2021,Sangat bagus apa masih lihat kan aku bilang bagus bagus,Positif
Dendi Tarma,14 Juli 2021,"Kalau mau kasih duit jangan nanggung"" dong. itu koin lama lama makin berkurang,",Positif
Hi Dayat,20 Juli 2021,Seru dan bisa ngasilin uang Tapi masih kadang ada bug yang bikin chalenge gak bisa ikutan,Positif
Ina Aulins,1 Juni 2021,aplikasi jelek👺👺👺👺👺👺...,Negatif
Sabrina Hanna,11 Juli 2021,"Maaf ya aku kasih bintang 4 karena kata koneksi jaringan tidak stabil tapi di youtube kok baik² aja, ingin nonton tiktok dan baca komentar tapi gimana cara coba orang jaringan masih baik dan lancar, tolong diperbaiki lagi ya👌😁 tidak bermaksud menyinggung.",Positif
Yahya Teguh,31 Juli 2021,"4 dulu karena point gak bisa nambah, padahal tiap hari sudah follow 1 jam lebih..",Positif
glorya the channel,16 Juli 2021,AKU suka tapi aneh 😔 kok kalian bisa dapat duit dan juga tiktok nguras baterai 😭😭😭💔 itu doang punten,Positif
rafi nursyahid,21 Juli 2021,Fitur tiktok bagus saya bisa ngedit semua video saya dan bisa lihat video orang yang menarik,Positif
XD3RE,16 Juli 2021,Silahkan memasukan code undangan ini GBGP9SL7S7YZG agar kalian mendapatkan point Rp penukaran uang,Positif
Nabil Safwan,23 Juli 2021,bagus sekali,Positif
Jasmine,21 Juli 2021,"bagus sih, tapi kok kadang² komenku sering gak ke posting? Tolong diperbaiki 🙏🏻",Positif
Muhammad Fadli,7 Agustus 2021,Kenapa selalu lag tiktok sekarang? Padahal jaringan saya bagus,Positif
Sastra Wiguna,7 Agustus 2021,halo developer boleh masukin dan ramein akun . cuthieebloom gal?? makasih,Positif
Agustina Mantolas,31 Juli 2021,Saya sangat suka aplikasi ini Karana sangat menghibur dan bisa ngilangin rasa sedih Lo🥰🥰,Positif
amaliya Nur Hanani,26 Juni 2021,"Aku mau kasih masukan buat update aplikasi. Fitur simpan/keep ditiktok dibuat kaya di instagram, jadi bisa bikin kategori2 penyimpanan. Karna gak semua video bisa di download, bisa di keep doang pake fitur simpan aplikasi. Biar lebih gampang buat klasifikasi konten yang disimpan aja gitu",Positif
Daniel Kristian,11 Juli 2021,Gue kasih bintang 4 karena tiktok keseringan update. Mohon jangan keseringan update,Positif
barca national,4 Agustus 2021,"Kenapa akun saya gagal penarikan dan event beda, nggak kaya biasa, aneh banget",Positif
Dimas Jr,22 Juli 2021,"Assalamualaikum saya minta saran tolong dong dijadikan kayak dulu lagi yang bisa dapat uang dari aplikasi ini, tolonglah admin saya dari kaum rebahan di rumah tolong dibantu admin",Positif
Max Pro,12 Juli 2021,Mohon konten politik rasis provokator blokir lah min.. sekarang kadang ajang adu domba di tiktok dengan konten2 gak jelas. mana tiktok yang dulu ajang buat hiburan lucu2 an. sekarang jadi ajang politik provokator gak jelas.. ayolah min benahinn,Positif
Azmi Noval,25 Juli 2021,Kenapa ya padahal aku sudah pilih genre buat tiktok aku. Tapi kok isi lgbt sama kegoblokan orang contoh gay ragil bugil sama drama gak jelas uya kuya Kalo masak-masak kayak dims the meat guy ok itu berguna atau gak Medy Renaldy Gerald Vincent itu mengedukasi tapi kok yang sering fyp kegoblokan ...,Negatif
Adinda Nauraputri,27 Juli 2021,"Gak ada misi menonton video . Percuma download gak dapat uang juga puter"" video juga",Positif
Nurcahyo Budi nugroho,19 Juli 2021,Kak kenapa sekarang Puku enggak bisa buat cari uang lagi maaf ya ini cuma saya kasih bintang 4,Positif
Alexa putri Undriani Caca,27 Juli 2021,Bagus banget bisa jadi tempat refresing mata 🥰,Positif
Abizar Raya,30 Juli 2021,"Sangat ampuh untuk mengusir rasa bosan selama ppkm, tapi ada ikon duit lu jing",Positif
Hasan Rosadi,15 Juli 2021,Saya senang dengan aplikasi ini. Tapi kenapa tida bisa masukan kode undangan.,Positif
Yennii Karthyka,17 Juni 2021,Jelek banget eh enggak kok Malah bagus banget,Positif
Haeria Anniza,10 Juni 2021,"✍️ G A G 6 E T L U 9 X Y T X # klaim hadiahmu dengan menggunakan kode diatas,.<...",Positif
Olivia Christian,25 Juli 2021,"Kak kalo mau ganti nomor rekening dana apa bisa ya, tapi gak ganti akun please jawab",Positif
Rayhan Guntur Pamungkas,18 Juli 2021,Developer tiktok tambahkan poin setiap login sehari 2000 poin setiap hari semoga komentar saya diterima,Positif
tevan nueta,7 Agustus 2021,"👌kenapa ya saya nonton video tidak dapat koin, parah ah tiktok menghabiskan waktu jadi sia sia",Positif
Nyakra Baskara,18 Juli 2021,Perhatikan langkah Anda dalam berkreasi bagi kami warga family kelas sekolah dasar,Positif
KINANES QUEENNESA,8 Agustus 2021,Bagus sih tiktok. tapi tolong orang pada gak sopan ketikan- and pada miris. tolong banget please toleransi. mau gimanapun juga tetap lebih sopan lagi supaya yang baru main tiktok gak risih. please banget ya tiktok indonesia,Positif
Nani Nani,18 Juni 2021,"Saya suka aplikasi ini, tapi sayang sekarang selalu berubah, kemarin saya nonton video  selama 30 mnit ada bonus 28000, sekarang kok malah berubah bonus jdi lebih kecil malah jadi 7000, kenapa ya.. Saya mohon agar bisa di perbaiki biar saya lebih semangat menonton, kan biar terhibur sekalian...",Positif
Fabio Ariansyah,16 Juli 2021,Ih bagus bangeet //????cie penasaran ya,Positif
Chries Tella,22 Juli 2021,"Kenapa makin hari makin bak yang harus di update, gue 2 hari yang lalu baru update dan selaras disuruh update",Positif
Posman Sitohang,17 Juli 2021,Orang yang saya ajak pengguna baru pada hari ke 14 point tidak dapat di proses.. kalau memang tidak bisa diproses alasan kenapa?,Positif
Ahmad Maryoko,5 Agustus 2021,Kok gak bisa ngedaftar sih? 😠 Pas disuruh tulis tahun bearap lahir malah gak bisa 😒,Positif
Sri Pujianti,16 Juli 2021,Kok gak bisa livestreaming sih? Kan sudah followers lebih 1k,Positif
Ridho Ramadhan,27 Juli 2021,Keren aplikasi bagus banget,Positif
Dandi Fauzi,5 Agustus 2021,"Alhamdulillah bertambah teman, kadang bikin ketawa2, sedih, baper, kadang ada juga video yang ngeselin",Positif
Mr. Chachinkz,30 Juli 2021,Buruan download dan kita berbagi hadiah yang besar dengan memasukan GCAAG6FV6PYS4,Positif
Track View,28 Juni 2021,tiktok bagus banget kenapa lihat kebawah,Positif
Nur Kholifah,15 Juli 2021,Oke ini aplikasi pilih kasih aku buat video ml kok tiba-tiba akun ku diblokir,Positif
luffy luff,20 Juli 2021,Kenapa saya down video tiktok lewat google tidak bisa ? Mohon di benarkan,Positif
Dwiirwan32 Dwi,6 Agustus 2021,"Asyik buat santai buat hiburan waktu capek""""""""""""""""""'😀😀😀",Positif
Agus Sunawijaya,23 Juli 2021,"Bagus, tapi kenapa pas diklik bonus 2× malah gak mau ya??",Positif
SW ANIME,12 Juni 2021,Kenapa pas mau penarikan itu ada masalah ya seperti saya ini mau hubungkan akun dana saya ke tiktok untuk memasukkan nomor hp dana sudah betul pas mau masukan pin dana itu salah terus dan saya cobak di akun dana pin/password bisa dan setelah saya ganti pun tetap enggak bisa juga gimana ini tolong...,Positif
Shena Ramadhani,25 Juli 2021,"please tolong tiktok kenapa tidak bisa salin komentar, sudah di update tapi tetep gak ada😵‍💫",Positif
Zaskia nur aisyh Nuraisyah,17 Juni 2021,Sumpah keren kenapa lu lihat kebawah gue sudah bilang keren,Positif
Sambrun Ungkal,7 Agustus 2021,Sangat senang melihat tiktok.. bak hiburan lelucon... dan kreatifitas,Positif
twntytu 0five,10 Juli 2021,Ini kapan ada fitur bookmark video yang bisa dipecah-pecah ke beberapa folder kayak pu Instagram??? Terutama untuk pengguna android 10,Positif
virda nur laili,19 Juli 2021,"Untuk promosi gak bisa 🥺 , dan ingin sekali hapus tiktok lama gak bisa 🥺",Positif
Didin Cunail,13 Juli 2021,Mantap ini benar aplikasi yang kasih hiburan dan uang👍👍👍👍 yang berkenan masukan kode undangan silahkan GBHSXPBBVXYTB,Positif
MR ANJAY,3 Juli 2021,"Apa lah daya ku . Mau protes soal event coint tiktok, tapi gue cuma penikmat gratisan .....🥲 Tapi gua cuma berharap smoga aplikasi kasi jadi semakin baik dan tidak memberi harapan palsu ❤️",Positif
Valeska Tobing,21 Mei 2021,"tiktok tolong peringati akun yang bernama clara.alexander12 soal memilih BTS karena BTS itu lebih ganteng dari mana Pak Soeharto dan juga membuat orang yang suka anime jadi sedih dan merasa kesal, tolong diblokir akun dan peringatin dia “Anda di blokir karena membuat orang lain merasa sedih...",Positif
Abuy Gaming,5 Agustus 2021,"tolong dong setiap aku upload video ko gak ada yang nonton, solusi?",Positif
Konici eichiro,16 Juli 2021,Gue kasih 4 bintang. Dikarnakan. Point mendadak hilang. Padahal akun Original dan gak curang undang teman pun sudah lumayan. Tanpa double akun juga pure main tiktok dengan 1 akun,Positif
Vina Viza,23 Juni 2021,"Kak mau ta, aku sudah undang temen, tapi di hp temen gak ada masukkan kode ku. Malah disana dapat koin sesuai yang di janjikan klo dari rujukan. Disana juga lebih besar hadiah kalo invite temen. Tapi di aku gak ada koin masuk pas temen sudah download. Malah disana gak ada masukkan kode ku. Itu gimana ya?",Positif
Dewi Yuliawati,28 Juli 2021,Bagus sih tapi kenapa selalu muncul kode coint padahal sudah di update🙂 Jadi ganggu><,Positif
DWI PERMATA PUTRA,29 Juli 2021,Tolong dong di bantu saya mau mempomosikan video tapi tidak ada metode pembayaran tong dibantu please,Positif
Novisya Adam,30 Juni 2021,"Aplikasi bagus tapi masih ada yang kurang, coba tambahkan tombol [ ikuti semua ] di bagian tab pengikut/mengikuti biar pas mau fb follow back gak repot sama gak kena limit. Untuk sementara aku kasih 4 bintang makasih›",Positif
Cindy Jovita,18 Juli 2021,Semakin hari semakin berkurang koin Tapi ya Alhamdulillah waktu itu aku sudah pernah dpt 60.000 thanks tiktok Tapi tolong diperbaiki agar koin gak kurang kurang terus menerus ☺️,Positif
*******,30 Juni 2021,Bagus aplikasi menghibur banget Sumpah gak percaya gak nyesel,Positif
Sri Herlinda,24 Juli 2021,"Aplikasi  lumayan bagus, cocok buat hiburan untuk mengisi waktu luang",Positif
Warung Bu fredd,12 Juni 2021,"Ayo download aplikasi ini, mumpung ada event besar yang menanti dan jangan lupa masukin kode referal ku biar makin besar dapat reward  G-B-J-L-J-R-6-8-S-P-Y-V-B Yuk jangan sampe kelewatan event  yah 😅😅😅",Positif
Revand AlHafizh,23 Juni 2021,Tiktok ini bagus banget,Positif
Alu Na,7 Agustus 2021,tiktok ku sekarang sering lag gak tau kenapa padahal pakai wifi jaringan lancar,Positif
Risa Jaim,31 Juli 2021,Keren bngat.. tapi hoyong buat min. kenapa sudah beberapa hari ini kok point tontonan misi kok gak masuk aja padahal saya sampai berjam jam nonton video tapi sampai saat ini point harian gak masuk sih tetap jumlah Rp gak berubah. tolong diperbaiki,Positif
Firdaus Gimang,27 Juli 2021,"WWE, SEPAKBOLA, JOGET, JEDAGJEDUG, GAME SERU BANGET LAH BUAT YANG LAGI BOSAN lebih baik DOWNLOAD INI😁",Positif
Haetami Alifahana,18 Juli 2021,buat tiktok saya tau akun saya di blokir karna melanggar panduan komunitas tapi waktu lama sampe kapan saya takut kena blokir permanent jadi gak bisa balas komen lah atau upload video lah,Positif
rohma Naway azmaata,6 Agustus 2021,Aku suka tiktok tapi suka ku gak terlalu bak maka aku kasih bintang 4,Positif
lilih muflihah,19 Juni 2021,"Aplikasi manfaat, asli, bak ceramah ceramah yang bagus. Tapi poin yang saya transfer ke rekening, gak sampe sampe... Huhuhuhu 😭 bisa kembali gak kalo gitu?",Positif
Lia Official,15 Juni 2021,"Hallo mohon bantuan Saya sudah menyelesaikan misi 50/50 tetapi tidak sama sekali dapat bonus saya dapat kan saya ha menerima 680rb dari 50 undangan, mohon bantuan agar bonus saya kembali.",Positif
Rahmat 96,1 Agustus 2021,Lumayan bagus ko ................................... ... .... Tapi bener...,Positif
Ratu Etty Yulihati,21 Juli 2021,ini game bagus banget kalian uji coba tapi kalo anak kecil jangan ya,Positif
cakrawati sudjoko,17 Juni 2021,"Download boleh, Asal jangan jadi generasi ketergantungan. Jangan bangga main tiktok, inget tiktok cuma hiburan. Tantangan kita akan lebih berat di masa selanjut, bakin belajar, bukan cuma di tiktok. Paham kan ?",Positif
dina dinnacandira,29 Juli 2021,Mau ta. Tolong respon kak. Apa nonton video sudah gak dapat koin lagi? Mohon bantuan ya kak. Respon. Terimakasih,Positif
NadilaWill,25 Juli 2021,kenapa setiap bikin video yang like gak ada tapi kalau aplikasi like ada gimana sih .... jadi gak suka,Negatif
Julie Hawkin,30 Juni 2021,"Lama lama bosan juga pakai aplikasi ini,. gitu gitu aja membosankan dan pendapatan koin sedikit...",Positif
Rayya Nadifha Abadi,1 Agustus 2021,Lumayan bagus tapi kalo pengikut belum bak kayak seleb tiktok gak bisa live,Positif
Ibat Bat,30 Juni 2021,Keren banget aplikasi ini kita bisa menghasilkan uang lewat aplikasi ini..Yuk masukin kode Hack GBVQAECSZXYWB untuk mendapatkan poin 100rb Selamat mencoba..,Positif
Candra ec2,16 Juli 2021,"Tolong ya supaya stiker hadiah dihilangkan,soal mengganggu banget😔",Positif
Are Falen,5 Agustus 2021,aplikasi bagus tapi kenapa saya kasih bintang 4? Karna video gue gak pernah fyp,Positif
Suneo Sunea,10 Juli 2021,Awal bagus bngt bisa menambah penghasilan tapi kenapa makin kesini makin berkurang uang nonto. malahan sekarang menghilang tidak bisa menghasilkan uang lagi. tolong diperbaiki lagi ya ka...,Positif
